Date,State,Day,Cases,Deaths,Code
2020-02-24,California,34,11,0,CA
2020-02-24,Illinois,34,2,0,IL
2020-02-24,Massachusetts,34,1,0,MA
2020-02-24,Nebraska,34,12,0,NE
2020-02-24,Texas,34,10,0,TX
2020-02-24,Washington,34,5,0,WA
2020-02-24,Wisconsin,34,1,0,WI
2020-02-25,Arizona,35,1,0,AZ
2020-02-25,California,35,11,0,CA
2020-02-25,Illinois,35,2,0,IL
2020-02-25,Massachusetts,35,1,0,MA
2020-02-25,Nebraska,35,13,0,NE
2020-02-25,Texas,35,10,0,TX
2020-02-25,Utah,35,1,0,UT
2020-02-25,Washington,35,5,0,WA
2020-02-25,Wisconsin,35,1,0,WI
2020-02-26,Arizona,36,1,0,AZ
2020-02-26,California,36,26,0,CA
2020-02-26,Illinois,36,2,0,IL
2020-02-26,Massachusetts,36,1,0,MA
2020-02-26,Nebraska,36,13,0,NE
2020-02-26,Texas,36,10,0,TX
2020-02-26,Utah,36,1,0,UT
2020-02-26,Washington,36,5,0,WA
2020-02-26,Wisconsin,36,1,0,WI
2020-02-27,Arizona,37,1,0,AZ
2020-02-27,California,37,26,0,CA
2020-02-27,Illinois,37,2,0,IL
2020-02-27,Massachusetts,37,1,0,MA
2020-02-27,Nebraska,37,13,0,NE
2020-02-27,Texas,37,10,0,TX
2020-02-27,Utah,37,1,0,UT
2020-02-27,Washington,37,5,0,WA
2020-02-27,Wisconsin,37,1,0,WI
2020-02-28,Arizona,38,1,0,AZ
2020-02-28,California,38,27,0,CA
2020-02-28,Illinois,38,2,0,IL
2020-02-28,Massachusetts,38,1,0,MA
2020-02-28,Nebraska,38,13,0,NE
2020-02-28,Oregon,38,1,0,OR
2020-02-28,Texas,38,11,0,TX
2020-02-28,Utah,38,1,0,UT
2020-02-28,Washington,38,7,0,WA
2020-02-28,Wisconsin,38,1,0,WI
2020-02-29,Arizona,39,1,0,AZ
2020-02-29,California,39,28,0,CA
2020-02-29,Illinois,39,3,0,IL
2020-02-29,Massachusetts,39,1,0,MA
2020-02-29,Nebraska,39,13,0,NE
2020-02-29,Oregon,39,1,0,OR
2020-02-29,Texas,39,11,0,TX
2020-02-29,Utah,39,1,0,UT
2020-02-29,Washington,39,10,1,WA
2020-02-29,Wisconsin,39,1,0,WI
2020-03-01,Arizona,40,1,0,AZ
2020-03-01,California,40,33,0,CA
2020-03-01,Florida,40,2,0,FL
2020-03-01,Illinois,40,3,0,IL
2020-03-01,Massachusetts,40,1,0,MA
2020-03-01,Nebraska,40,13,0,NE
2020-03-01,Oregon,40,2,0,OR
2020-03-01,Texas,40,11,0,TX
2020-03-01,Utah,40,1,0,UT
2020-03-01,Washington,40,17,3,WA
2020-03-01,Wisconsin,40,1,0,WI
2020-03-02,Arizona,41,1,0,AZ
2020-03-02,California,41,38,0,CA
2020-03-02,Florida,41,2,0,FL
2020-03-02,Georgia,41,2,0,GA
2020-03-02,Illinois,41,4,0,IL
2020-03-02,Massachusetts,41,2,0,MA
2020-03-02,Nebraska,41,13,0,NE
2020-03-02,New Hampshire,41,1,0,NH
2020-03-02,Oregon,41,2,0,OR
2020-03-02,Texas,41,11,0,TX
2020-03-02,Utah,41,1,0,UT
2020-03-02,Washington,41,23,6,WA
2020-03-02,Wisconsin,41,1,0,WI
2020-03-03,Arizona,42,2,0,AZ
2020-03-03,California,42,45,0,CA
2020-03-03,Florida,42,3,0,FL
2020-03-03,Georgia,42,2,0,GA
2020-03-03,Illinois,42,4,0,IL
2020-03-03,Massachusetts,42,2,0,MA
2020-03-03,Nebraska,42,13,0,NE
2020-03-03,New Hampshire,42,2,0,NH
2020-03-03,North Carolina,42,1,0,NC
2020-03-03,Oregon,42,2,0,OR
2020-03-03,Texas,42,11,0,TX
2020-03-03,Utah,42,1,0,UT
2020-03-03,Washington,42,32,10,WA
2020-03-03,Wisconsin,42,1,0,WI
2020-03-04,Arizona,43,2,0,AZ
2020-03-04,California,43,55,1,CA
2020-03-04,Florida,43,3,0,FL
2020-03-04,Georgia,43,2,0,GA
2020-03-04,Illinois,43,4,0,IL
2020-03-04,Massachusetts,43,2,0,MA
2020-03-04,Nebraska,43,13,0,NE
2020-03-04,New Hampshire,43,2,0,NH
2020-03-04,New Jersey,43,1,0,NJ
2020-03-04,New York,43,9,0,NY
